IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.167.240.132","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.77","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.153","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.59","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.148","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.92","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.81","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.78","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.130","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.5","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.155","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.46","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.56","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.158","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.60","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.45","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.152","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.74","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.47","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.147","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.66","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.58","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.42","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.146","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.48","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.52","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.68","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.65","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.69","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.35","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.157","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.71","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.44","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.173","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.97","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.137","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.99","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.170","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.55","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.140","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.49","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.127","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.167","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.142","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.128","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.61","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.149","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.43","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.156","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.98","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.50","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.145","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.57","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.154","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.41","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.131","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.62","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.51","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.63","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.193","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.108","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.144","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.103","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.151","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.109","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.133","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
